zomet,ishuv,rehov1,rehov2,x,y
130031,7900,1203,1219,189219,664627
130031,7900,1205,1219,189219,664627
130031,7900,743,1219,189219,664627
130039,831,138,151,192282,544236
130054,6100,949,951,184008,664905
130054,6100,951,954,184008,664905
130054,6100,949,954,184008,664905
130073,3616,201,202,231397,633889
130073,3616,201,211,231397,633889
130073,3616,202,211,231397,633889
130104,3616,141,225,228996,631608
130112,8600,204,208,182991,666566
130133,3616,141,229,229516,631770
130223,4000,357,360,199820,747254
140005,7800,153,175,197649,708680
140022,9000,921,953,179993,572117
140032,1309,217,218,196734,662364
140032,1309,217,219,196734,662364
140032,1309,218,219,196734,662364
140033,6200,601,607,176277,657051
140211,3000,395,398,220113,633661
140211,3000,395,987,220113,633661
140211,3000,395,4903,220113,633661
140211,3000,398,987,220113,633661
140211,3000,398,4903,220113,633661
140211,3000,987,4903,220113,633661
140411,4000,601,615,198971,743675
140411,4000,601,625,198971,743675
140411,4000,615,625,198971,743675
140431,4000,635,721,198543,746558
140523,5000,1227,1229,178306,664158
140532,3000,1722,1724,221662,630073
140616,4000,1020,1026,201880,744113
140816,5000,2235,2253,179290,662870
140921,5000,2604,2686,181606,663406
150001,229,145,170,187892,662681
150001,1015,154,166,214433,634673
150001,1015,166,253,214433,634673
150001,1015,166,6001,214433,634673
150001,1015,154,6001,214433,634673
150001,1015,253,6001,214433,634673
150001,1015,154,253,214433,634673
150001,1020,105,124,193213,711986
150021,9000,101,103,182702,573212
150023,7900,916,927,187914,665836
150031,7400,417,532,186868,692764
150031,7400,418,532,186868,692764
150031,7400,417,418,186868,692764
150061,7900,501,508,191838,664938
150117,8600,108,408,181680,665858
150122,4000,183,215,207139,747242
150216,8600,1109,1529,183970,664499
150514,3000,1647,1650,220875,630324
150514,3000,1650,1663,220875,630324
150514,3000,1647,1663,220875,630324
150522,3000,1521,1530,221115,631372
150522,3000,1528,1530,221115,631372
150522,3000,1521,1528,221115,631372
160001,2500,129,181,203222,742470
160002,8700,301,302,186588,677831
160006,8300,338,341,181674,652685
160021,6100,435,445,183653,666222
160023,7900,916,956,188129,665753
160041,7900,229,230,189413,665908
160053,7400,942,947,186428,687723
160053,7400,947,993,186428,687723
160053,7400,942,993,186428,687723
160073,1063,203,205,226301,769546
160114,5000,198,1040,179591,667709
160131,4000,199,210,206079,746679
160525,4000,847,859,200066,746475
160624,5000,1530,1554,179828,663236
160911,5000,2523,2524,180810,664561
170001,166,126,127,172686,632897
170001,1200,173,176,200780,646098
170001,2600,115,121,195239,385222
170007,70,146,181,167411,635317
170007,6500,606,611,192865,705048
170011,6600,109,113,181704,657808
170012,6600,115,117,181236,658638
170033,7900,318,715,189581,665705
170042,7900,212,222,189227,666296
170055,7900,606,612,190927,664492
170123,3000,101,125,220932,633186
180001,168,213,218,193464,691464
180001,168,217,218,193464,691464
180001,168,213,217,193464,691464
180002,7800,101,171,197775,709290
180002,8300,503,504,183487,651953
180002,8300,503,513,183487,651953
180002,8300,504,513,183487,651953
180005,2600,147,167,194123,385321
180005,2600,147,254,194123,385321
180005,2600,167,254,194123,385321
180012,6100,233,241,185356,667224
180014,7900,108,115,189584,667046
180022,9000,921,923,179894,571994
180024,6600,333,339,179694,658433
180042,7900,107,118,189296,666317
180042,7900,118,212,189296,666317
180042,7900,107,212,189296,666317
180095,168,202,216,194078,691672
180099,168,203,230,193182,691309
180123,3000,101,124,220964,633233
180172,3000,305,321,220186,633071
180622,4000,795,1059,201182,742287
